Name,Priority,Notes,IfUsed
Virtual SAN Health Alarm 'Controller Driver',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Controller Release Support',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Current cluster situation',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Data health',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Disk capacity',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'ESX Virtual SAN Health service installation',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Fault domain number check',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Host issues retrieving hardware info',Disabled,Can disable if not using VSAN,Low
Virtual SAN Health Alarm 'Hosts disconnected from VC',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Hosts with connectivity issues',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Hosts with Virtual SAN disabled',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Hosts without configured unicast agent',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Limits health',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Memory pools (heaps)',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Memory pools (slabs)',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Metadata health',Disabled,Can disable if not using VSAN,High
Virtual SAN Health Alarm 'MTU check (ping with large packet size)',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Multicast assessment based on other checks',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Network health',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Overall disks health',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Physical disk health',Disabled,Can disable if not using VSAN,High
Virtual SAN Health Alarm 'Physical disk health retrieval issues',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'SCSI Controller on Virtual SAN HCL',Disabled,Can disable if not using VSAN,Low
Virtual SAN Health Alarm 'Software state health',Disabled,Can disable if not using VSAN,High
Virtual SAN Health Alarm 'Some hosts do not support stretched cluster',Disabled,Can disable if not using VSAN,Low
Virtual SAN Health Alarm 'Stretched cluster health',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Stretched cluster with no disk mapping witness host',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Stretched cluster without a witness host',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Unexpected Virtual SAN cluster members',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Virtual SAN CLOMD liveness',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Virtual SAN cluster partition',Disabled,Can disable if not using VSAN,High
Virtual SAN Health Alarm 'Virtual SAN HCL DB up-to-date',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Virtual SAN HCL health',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Virtual SAN Health Service up-to-date',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Virtual SAN object health',Disabled,Can disable if not using VSAN,High
Virtual SAN Health Alarm 'Witness host inside one of the fault domain',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Witness host part of cluster',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Witness host with invalid preferred fault domain',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Alarm 'Witness host with non-existing fault domain',Disabled,Can disable if not using VSAN,Medium
Virtual SAN Health Service Alarm for Overall Health Summary,Disabled,Can disable if not using VSAN,Medium
VM storage compliance alarm,Low,,
VMKernel NIC not configured correctly,Medium,,
VMware Common Logging Service Health Alarm,Low,,
VMware System and Hardware Health Manager Service Health Alarm,Low,,
VMware vAPI Endpoint Service Health Alarm,Low,,
VMware vFabric Postgres Service Health Alarm,Low,,
VMware vSphere ESXi Dump Collector Health Alarm,Low,,
VMware vSphere Profile-Driven Storage Service Health Alarm,Low,,
vService Manager Health Alarm,Low,,
vSphere APIs for IO Filtering (VAIO) Filter Management Operations,Low,,
vSphere Client Health Alarm,Low,,Low
vSphere Distributed Switch MTU matched status,High,,
vSphere Distributed Switch MTU supported status,High,,
vSphere Distributed Switch teaming matched status,Medium,,
vSphere Distributed Switch VLAN trunked status,Medium,,
vSphere HA failover in progress,High,,
vSphere HA host status,Medium,,
vSphere HA virtual machine failover failed,High,,
vSphere HA virtual machine monitoring action,Medium,,
vSphere HA virtual machine monitoring error,Medium,,
vSphere HA VM Component Protection could not power off a virtual machine,Low,,
vSphere vCenter Host Certificate Management Mode,Low,,
